region, boya_temp, boya_salinidad, est_temp, est_pto_rocio, est_presion, est_presion_est_m, est_veloc_viento_m, est_temp_max, est_temp_min, caudal
Tumbes, 24.09, 34.447, 81.1631578947, 73.7684210526, 1483.12631579, 1479.63157895, 4.33157894737, 87.7473684211, 73.5526315789, 312.213846154
Tumbes, 26.669, 34.929, 81.6947368421, 74.5736842105, 1010.71578947, 1007.21578947, 3.45263157895, 87.7157894737, 73.2263157895, 693.79
Tumbes, 25.075, 34.832, 82.7421052632, 74.5, 1482.35263158, 1479.18421053, 3.54736842105, 90.1263157895, 74.3578947368, 160.105882353
Tumbes, 23.689, 34.943, 82.2368421053, 74.6368421053, 1483.92631579, 1480.75263158, 3.57368421053, 88.4684210526, 73.6368421053, 140.7125
Tumbes, 23.8285, 34.37, 81.1157894737, 73.0473684211, 1483.28947368, 1480.12631579, 3.42105263158, 87.8684210526, 72.3684210526, 89.8736842105
Tumbes, 23.239, 34.929, 81.0157894737, 71.5578947368, 1956.08421053, 1953.11052632, 3.74736842105, 87.7263157895, 71.7578947368, 56.2
Tumbes, 26.022, 34.651, 81.9368421053, 72.7421052632, 1009.40526316, 1005.95789474, 4.84736842105, 88.6789473684, 74.0263157895, 20.135
Tumbes, 26.022, 34.651, 82.9157894737, 72.2, 1481.56842105, 1478.13157895, 4.88947368421, 89.4421052632, 75.0052631579, 17.8588235294
Tumbes, 28.167, 35.134, 83.5368421053, 75.0789473684, 1008.4, 1005.26842105, 55.9736842105, 89.9842105263, 77.2526315789, 96.625
Tumbes, 28.2992, 35.0126, 82.0947368421, 75.5578947368, 1957.20526316, 1954.25789474, 210.505263158, 87.7, 76.4421052632, 466.515384615
Tumbes, 28.0515714286, 35.1074285714, 83.8894736842, 74.9368421053, 1956.74736842, 1953.73684211, 3.13157894737, 89.6736842105, 77.5263157895, 188.190909091
Tumbes, 24.8831666667, 35.0576666667, 82.3421052632, 74.4526315789, 1010.07368421, 1006.92105263, 3.22631578947, 88.3263157895, 75.1578947368, 332.345
Tumbes, 23.6505, 35.1016666667, 81.7263157895, 72.3684210526, 1011.01578947, 1007.75263158, 3.75263157895, 88.5, 72.3368421053, 98.6944444444
Tumbes, 20.8055, 35.0655, 79.875, 69.85, 1011.4875, 1008.38125, 4.1125, 86.35625, 69.69375, 44.1764705882
Piura, 25.915, 34.783, 83.2447368421, 69.7921052632, 5505.11315789, 5502.94736842, 84.3368421053, 90.8263157895, 76.8842105263, 87.2204255319
Piura, 26.2106666667, 34.5693333333, 83.7578947368, 70.3131578947, 5505.56578947, 5503.39736842, 502.344736842, 91.5894736842, 76.9052631579, 264.201388889
Piura, 26.2092, 34.8586, 82.2842105263, 68.3052631579, 5505.14473684, 5502.95789474, 451.144736842, 89.95, 74.5157894737, 62.332173913
Piura, 26.9063333333, 34.8556666667, 79.9815789474, 68.1447368421, 5506.06842105, 5503.87368421, 10.9552631579, 87.2973684211, 72.6763157895, 40.4949253731
Piura, 26.106, 35.0455, 78.9947368421, 67.3473684211, 5505.71315789, 5503.52631579, 10.3342105263, 86.3447368421, 72.0447368421, 56.9873333333
Piura, 24.629, 35.05275, 77.7526315789, 65.6394736842, 5505.62631579, 5503.42368421, 10.4289473684, 85.5052631579, 70.4026315789, 42.113974359
Piura, 24.3731428571, 34.7835714286, 79.7394736842, 67.1894736842, 5032.18684211, 5029.44736842, 243.705263158, 88.2473684211, 72.4789473684, 14.739375
Piura, 24.0746, 34.978, 82.3157894737, 68.8710526316, 5504.74736842, 5502.54473684, 10.7815789474, 90.2763157895, 74.7868421053, 18.1838235294
Piura, 25.9704, 35.0472, 85.3368421053, 71.0289473684, 5504.43684211, 5502.37105263, 8.63684210526, 94.3447368421, 77.6078947368, 90.84375
Piura, 27.6878823529, 35.0968235294, 83.5131578947, 71.6605263158, 5505.59736842, 5503.44473684, 7.79736842105, 91.8315789474, 76.4447368421, 269.638461538
Piura, 26.815, 34.8945714286, 85.2864864865, 70.0540540541, 5626.86216216, 5624.72972973, 7.58918918919, 93.6162162162, 77.872972973, 87.1886363636
Piura, 25.827375, 35.186375, 83.3473684211, 68.7473684211, 5505.52894737, 5503.33157895, 9.17631578947, 91.5578947368, 74.8921052632, 135.54484375
Piura, 24.1211428571, 35.3252857143, 78.7131578947, 64.6184210526, 4560.06578947, 4556.80263158, 10.3894736842, 87.5947368421, 69.3684210526, 54.0584722222
Piura, 22.6551666667, 35.1925, 75.9125, 62.75, 5506.615625, 5504.4125, 12.10625, 84.525, 67.28125, 35.02
Lambayeque, 26.35775, 35.03125, 77.7210526316, 68.8526315789, 1010.45263158, 1006.96842105, 8.74210526316, 86.9473684211, 71.4842105263, 134.653846154
Lambayeque, 27.186, 35.046, 77.3315789474, 67.6526315789, 1011.34736842, 1007.90526316, 9.82105263158, 86.8894736842, 70.9, 163.416666667
Lambayeque, 26.105, 34.881, 75.2210526316, 67.6894736842, 1010.56315789, 1007.08421053, 11.1684210526, 83.8210526316, 70.2473684211, 41.5577777778
Lambayeque, 26.66775, 34.9265, 74.7684210526, 67.6, 1012.31052632, 1008.92631579, 11.1947368421, 82.0736842105, 70.5, 61.3294117647
Lambayeque, 26.06, 34.9752, 73.7526315789, 67.5578947368, 1011.58421053, 1008.12631579, 9.96842105263, 80.9684210526, 69.4315789474, 29.0736842105
Lambayeque, 25.646, 34.993, 71.9, 65.4368421053, 1011.58947368, 1008.18421053, 9.27894736842, 80.0105263158, 66.8473684211, 10.8111111111
Lambayeque, 24.694, 35.0225, 73.4631578947, 66.6157894737, 1011.00526316, 1007.50526316, 10.9526315789, 82.8894736842, 68.6526315789, 25.62
Lambayeque, 24.3306666667, 35.1496666667, 75.3157894737, 67.9736842105, 1009.91578947, 1006.48947368, 11.6684210526, 83.8789473684, 70.7789473684, 10.7882352941
Lambayeque, 26.274, 35.1366666667, 79.6789473684, 71.0631578947, 1009.21578947, 1005.84736842, 9.74736842105, 88.5789473684, 74.0947368421, 53.0605
Lambayeque, 26.6332, 35.1904, 79.5263157895, 70.4789473684, 1011.39473684, 1007.92105263, 9.52631578947, 90.3842105263, 73.5315789474, 124.361538462
Lambayeque, 26.3573333333, 35.1123333333, 78.1421052632, 69.7210526316, 1011.02105263, 1007.55263158, 10.4736842105, 88.7842105263, 72.0210526316, 75.4363636364
Lambayeque, 25.991, 35.332, 75.2631578947, 67.8052631579, 1011.32631579, 1007.86842105, 11.8526315789, 85.5105263158, 69.6421052632, 79.298125
Lambayeque, 21.42, 35.135, 70.5315789474, 64.4105263158, 1012.77894737, 1009.33157895, 12.1894736842, 80.2789473684, 65.0473684211, 13.9135483871
Lambayeque, 22.5183333333, 35.26, 68.84375, 61.65625, 1013.68125, 1010.21875, 12.85, 77.925, 62.95, 6.75323529412
La Libertad, 26.249, 35.2935, 73.0052631579, 66.6368421053, 1010.38421053, 1007.7, 6.62105263158, 78.3789473684, 68.9526315789, 167.215384615
La Libertad, 25.5936, 35.2062, 71.6894736842, 65.4368421053, 1011.40526316, 1008.79473684, 7.08421052632, 77.4263157895, 67.7473684211, 204.46
La Libertad, 26.7223333333, 35.0618333333, 71.3421052632, 65.4105263158, 1010.84736842, 1008.15263158, 7.13684210526, 76.3578947368, 67.8526315789, 999999.9
La Libertad, 26.0944, 35.0274, 71.9736842105, 65.8052631579, 1012.7, 1009.91052632, 8.4, 76.0473684211, 69.7157894737, 999999.9
La Libertad, 24.5266, 35.0834, 71.8736842105, 65.9578947368, 1011.84210526, 1009.02105263, 7.0, 76.0684210526, 69.3894736842, 999999.9
La Libertad, 23.81, 35.1303333333, 68.4421052632, 62.8368421053, 1011.85789474, 1009.03684211, 6.25263157895, 73.4684210526, 64.4684210526, 999999.9
La Libertad, 24.0873333333, 35.0248333333, 69.8157894737, 65.1578947368, 1011.24210526, 1008.46842105, 7.28947368421, 74.5, 67.2631578947, 7.0
La Libertad, 24.3321666667, 35.1266666667, 71.5052631579, 66.5578947368, 1010.21052632, 1007.44736842, 7.94736842105, 75.9105263158, 68.9473684211, 6.59764705882
La Libertad, 26.4792857143, 35.2362857143, 74.4631578947, 69.3052631579, 1009.43684211, 1006.68947368, 7.22631578947, 79.2157894737, 71.1473684211, 28.15
La Libertad, 27.3912857143, 35.3092857143, 74.0421052632, 69.8263157895, 1011.56842105, 1008.79473684, 7.05263157895, 78.5210526316, 70.6, 94.8923076923
La Libertad, 26.9803333333, 35.4181666667, 72.2947368421, 68.9526315789, 1484.56315789, 1481.97368421, 7.38947368421, 76.5105263158, 69.3736842105, 50.1090909091
La Libertad, 26.397, 35.4725384615, 69.4157894737, 66.2736842105, 1011.68421053, 1008.89473684, 7.93157894737, 74.1526315789, 66.5105263158, 59.53
La Libertad, 24.4202142857, 35.3997857143, 68.6210526316, 63.5684210526, 1013.25789474, 1010.47368421, 7.78421052632, 76.0473684211, 62.8789473684, 8.939375
La Libertad, 22.4986666667, 35.3498333333, 67.13125, 61.01875, 1014.2125, 1011.43125, 6.95625, 75.60625, 60.3375, 3.25588235294
Ancash, 26.8803333333, 35.4476666667, 999999.9, 999999.9, 999999.9, 999999.9, 999999.9, 999999.9, 999999.9, 999999.9
Ancash, 26.969, 35.213, 999999.9, 999999.9, 999999.9, 999999.9, 999999.9, 999999.9, 999999.9, 999999.9
Ancash, 25.245, 35.2125, 65.3, 47.8, 999999.9, 732.8, 5.7, 77.0, 40.8, 999999.9
Ancash, 25.8725, 35.1545, 999999.9, 999999.9, 999999.9, 999999.9, 999999.9, 999999.9, 999999.9, 999999.9
Ancash, 25.1676666667, 35.148, 999999.9, 999999.9, 999999.9, 999999.9, 999999.9, 999999.9, 999999.9, 999999.9
Ancash, 24.6406666667, 35.2463333333, 999999.9, 999999.9, 999999.9, 999999.9, 999999.9, 999999.9, 999999.9, 999999.9
Ancash, 23.0046666667, 35.4011666667, 999999.9, 999999.9, 999999.9, 999999.9, 999999.9, 999999.9, 999999.9, 999999.9
Ancash, 24.2526, 35.251, 63.5, 50.0, 999999.9, 999999.9, 2.2, 77.0, 44.2, 999999.9
Ancash, 26.6636, 35.3832, 61.7, 47.9, 999999.9, 999999.9, 2.8, 78.8, 50.0, 999999.9
Ancash, 27.9134, 35.4936, 60.075, 49.125, 999999.9, 999999.9, 251.9, 71.15, 44.0, 999999.9
Ancash, 27.7566666667, 35.5181666667, 61.3, 50.7, 999999.9, 735.1, 4.9, 69.8, 50.0, 999999.9
Ancash, 27.888, 35.5705, 58.5, 44.2, 999999.9, 999999.9, 2.0, 75.2, 46.4, 999999.9
Ancash, 24.7008, 35.5418, 65.1, 42.1, 999999.9, 733.9, 5.5, 79.7, 42.8, 999999.9
Ancash, 22.8358, 35.4352, 999999.9, 999999.9, 999999.9, 999999.9, 999999.9, 999999.9, 999999.9, 999999.9
